n_layer1;n_layer2;dropout_1;dropout_2;act;optim;n_batch;best_val_acc
128;256;0.30543815464061785;0.3685849187307607;swish;sgd;256;0.831
256;512;0.48850025868977437;0.41833334235579095;swish;rmsprop;64;0.8556
512;512;0.19749681333133445;0.48790925917284717;relu;adam;64;0.8814
256;256;0.05864877623022119;0.42221220495036493;relu;adam;128;0.8912
512;512;0.47663695683601787;0.06874772122693129;relu;rmsprop;128;0.8752
512;512;0.47621445387839695;0.14068954802036931;relu;sgd;256;0.866
512;128;0.35951860246769524;0.08078074540339897;relu;rmsprop;256;0.8663
256;256;0.15558215712484352;0.10335018012758562;relu;sgd;256;0.855
512;512;0.3935331875907188;0.262315585785946;leakyrelu;rmsprop;128;0.8715
256;128;0.1920326827682307;0.2071809982680866;swish;adam;64;0.888
512;512;0.09445412926280483;0.0005026407453514459;leakyrelu;adam;64;0.8661
128;128;0.06628078695650813;0.4728743661166381;swish;adam;256;0.8714
512;512;0.40854267231048247;0.2295881313917097;leakyrelu;adam;64;0.8642
128;256;0.321564022474104;0.35511546324589943;relu;rmsprop;128;0.8723
256;128;0.192025789974214;0.11162758792630445;swish;adam;128;0.8838
128;256;0.21104444989285742;0.45628105943107194;leakyrelu;adam;128;0.8669
256;256;0.3865244555500704;0.13195184400484827;relu;adam;128;0.8911
256;128;0.26921182424582785;0.38001616449955167;relu;rmsprop;256;0.8882
512;128;0.1705172337128903;0.3054281970902219;swish;rmsprop;128;0.8858
128;512;0.02122190901136195;0.27075464657505727;relu;adam;64;0.8862
256;256;0.4247488920557205;0.18661425826551412;relu;adam;128;0.8732
256;256;0.11168159852498472;0.030028198892050176;relu;adam;128;0.8894
256;256;0.2594897390608585;0.18306311342327825;relu;adam;128;0.8856
256;256;0.012327977304603548;0.15711297024135987;relu;sgd;128;0.8561
256;256;0.35572085948592425;0.3332580191194666;relu;adam;128;0.8837
256;256;0.44978744612757965;0.41810969268756315;relu;adam;128;0.8868
256;256;0.3003067223449033;0.29960801353303157;leakyrelu;adam;128;0.8811
256;256;0.04687725776703882;0.03809389534778285;relu;sgd;128;0.8707
256;256;0.3563301176064584;0.142218204635939;relu;adam;128;0.8974
256;256;0.3100677133263328;0.23984509420235195;relu;sgd;128;0.8718
